Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
13,2002-03,38.0,13.0,9.0,16.0,41.0,49.0,-8.0,48.0
10,2003-04,38.0,12.0,14.0,12.0,43.0,48.0,-5.0,50.0
12,2004-05,38.0,11.0,12.0,15.0,40.0,46.0,-6.0,45.0
18,2005-06,38.0,8.0,10.0,20.0,28.0,50.0,-22.0,34.0
19,2007-08,38.0,8.0,11.0,19.0,46.0,62.0,-16.0,35.0
9,2009-10,38.0,13.0,11.0,14.0,38.0,47.0,-9.0,50.0
18,2010-11,38.0,8.0,15.0,15.0,37.0,58.0,-21.0,39.0
