Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
12,1992-93,42.0,14.0,12.0,16.0,56.0,55.0,1.0,54.0
6,1993-94,42.0,18.0,11.0,13.0,56.0,53.0,3.0,65.0
9,1994-95,42.0,15.0,11.0,16.0,48.0,65.0,-17.0,56.0
14,1995-96,38.0,10.0,11.0,17.0,55.0,70.0,-15.0,41.0
8,1996-97,38.0,15.0,11.0,12.0,49.0,46.0,3.0,56.0
15,1997-98,38.0,10.0,14.0,14.0,34.0,46.0,-12.0,44.0
16,1998-99,38.0,10.0,12.0,16.0,40.0,63.0,-23.0,42.0
18,1999-00,38.0,7.0,12.0,19.0,46.0,74.0,-28.0,33.0
