Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
22,1992-93,42.0,10.0,10.0,22.0,41.0,62.0,-21.0,40.0
3,1994-95,42.0,22.0,11.0,9.0,72.0,43.0,29.0,77.0
9,1995-96,38.0,15.0,13.0,10.0,50.0,54.0,-4.0,58.0
20,1996-97,38.0,6.0,16.0,16.0,31.0,59.0,-28.0,34.0
20,1998-99,38.0,7.0,9.0,22.0,35.0,69.0,-34.0,30.0
