Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
5,1992-93,42.0,17.0,12.0,13.0,63.0,55.0,8.0,63.0
9,1993-94,42.0,16.0,12.0,14.0,62.0,61.0,1.0,60.0
8,1994-95,42.0,17.0,9.0,16.0,61.0,59.0,2.0,60.0
19,1995-96,38.0,9.0,6.0,23.0,38.0,57.0,-19.0,33.0
17,2011-12,38.0,10.0,7.0,21.0,43.0,66.0,-23.0,37.0
22,2012-13,38.0,4.0,13.0,21.0,30.0,60.0,-30.0,25.0
20,2014-15,38.0,8.0,6.0,24.0,42.0,73.0,-31.0,30.0
