Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
7,1992-93,42.0,15.0,14.0,13.0,55.0,51.0,4.0,59.0
7,1993-94,42.0,16.0,16.0,10.0,76.0,54.0,22.0,64.0
13,1994-95,42.0,13.0,12.0,17.0,49.0,57.0,-8.0,51.0
15,1995-96,38.0,10.0,10.0,18.0,48.0,61.0,-13.0,40.0
7,1996-97,38.0,14.0,15.0,9.0,50.0,51.0,-1.0,57.0
16,1997-98,38.0,12.0,8.0,18.0,52.0,67.0,-15.0,44.0
12,1998-99,38.0,13.0,7.0,18.0,41.0,42.0,-1.0,46.0
19,1999-00,38.0,8.0,7.0,23.0,38.0,70.0,-32.0,31.0
