Pos,Season,Pld,W,D,L,GF,GA,GD,Pts
16,2015-16,38.0,11.0,9.0,18.0,45.0,67.0,-22.0,42.0
9,2016-17,38.0,12.0,10.0,16.0,55.0,67.0,-12.0,46.0
12,2017-18,38.0,11.0,11.0,16.0,45.0,61.0,-16.0,44.0
14,2018-19,38.0,13.0,6.0,19.0,56.0,70.0,-14.0,45.0
18,2019-20,38.0,9.0,7.0,22.0,40.0,65.0,-25.0,34.0
